timestamp,unit_id,gps_lat,gps_lng,message_text,priority,message_type
2024-02-27T00:00:00Z,Bravo-4,53.001959,-1.282268,Requesting orders. New intel suggests target has relocated.,HIGH,INTEL
2024-02-27T00:00:07Z,Alpha-5,52.95292,-1.295857,Request water resupply at grid 8166 2873.,MEDIUM,LOGISTICS
2024-02-27T00:00:08Z,Alpha-5,52.922966,-1.148143,Suspicious vehicle approaching checkpoint. Weapons visible.,HIGH,CONTACT
2024-02-27T00:00:13Z,Charlie-6,52.854888,-1.126234,"CASEVAC urgent! Two T1 casualties, GSW to chest and abdomen.",CRITICAL,MEDICAL
2024-02-27T00:00:15Z,Falcon-6,53.02543,-1.197855,Movement detected in treeline. Probable enemy OP.,HIGH,CONTACT
2024-02-27T00:00:18Z,Falcon-5,52.892501,-1.236876,مركبة مجهولة تقترب بسرعة,HIGH,MEDICAL
2024-02-27T00:00:25Z,Bravo-2,53.025695,-1.185413,Requesting orders. New intel suggests target has relocated.,HIGH,INTEL
2024-02-27T00:00:27Z,Charlie-5,52.974577,-1.203464,Ammunition critically low! Down to last magazine. Resupply NOW!,CRITICAL,LOGISTICS
2024-02-27T00:00:30Z,Bravo-3,52.918166,-1.201054,UAV feed shows vehicle tracks.,MEDIUM,INTEL
2024-02-27T00:00:32Z,Charlie-3,53.039719,-1.255759,Position check: holding at grid 2954 9129.,MEDIUM,ROUTINE
2024-02-27T00:00:38Z,Charlie-5,52.955803,-1.204484,Heat casualty. Soldier unconscious. IV fluids administered.,HIGH,MEDICAL
2024-02-27T00:00:43Z,Eagle-4,52.983511,-1.19892,فحص الاتصالات. الإشارة واضحة,LOW,ROUTINE
2024-02-27T00:00:44Z,Falcon-6,52.98583,-1.251345,Suspicious movement in Sector 4. Possible staging area.,HIGH,INTEL
2024-02-27T00:00:44Z,Charlie-6,53.003516,-1.156133,Local nationals report unusual activity.,MEDIUM,INTEL
2024-02-27T00:00:45Z,Charlie-3,52.955286,-1.180915,HUMINT source reports weapons cache at grid 1745 4146.,HIGH,INTEL
2024-02-27T00:00:46Z,Eagle-3,53.008521,-1.276134,Shift rotation complete.,MEDIUM,ROUTINE
2024-02-27T00:00:51Z,Falcon-3,52.976157,-1.238899,Suspicious movement in Sector 4. Possible staging area.,HIGH,INTEL
2024-02-27T00:00:55Z,Alpha-6,53.010172,-1.192913,Weather update- sandstorm expected.,MEDIUM,ROUTINE
2024-02-27T00:01:01Z,Falcon-1,52.961169,-1.134986,Vehicle maintenance required. Engine overheating.,MEDIUM,LOGISTICS
2024-02-27T00:01:02Z,Charlie-6,52.943279,-1.240244,Radio check. Lima Charlie. Over.,LOW,ROUTINE
2024-02-27T00:01:09Z,Charlie-2,52.897644,-1.256183,Routine patrol complete. Sector clear. RTB.,LOW,ROUTINE
2024-02-27T00:01:09Z,Bravo-4,52.905932,-1.294834,Movement detected in treeline. Probable enemy OP.,HIGH,CONTACT
2024-02-27T00:01:12Z,Charlie-2,53.000924,-1.232734,Intercepted comms indicate imminent attack on FOB. All units alert!,CRITICAL,INTEL
2024-02-27T00:01:15Z,Eagle-1,52.976738,-1.186437,Routine patrol complete. Sector clear. RTB.,LOW,ROUTINE
2024-02-27T00:01:15Z,Eagle-6,52.974041,-1.179236,Equipment inventory complete.,LOW,LOGISTICS
2024-02-27T00:01:21Z,Eagle-2,52.910225,-1.223486,Local nationals report unusual activity.,MEDIUM,INTEL
2024-02-27T00:01:26Z,Charlie-3,52.991315,-1.116493,Movement detected in treeline. Probable enemy OP.,HIGH,CONTACT
2024-02-27T00:01:27Z,Eagle-2,52.903151,-1.280296,Request water resupply at grid 5153 4779.,MEDIUM,LOGISTICS
2024-02-27T00:01:37Z,Alpha-3,52.922982,-1.231435,Routine patrol complete. Sector clear. RTB.,LOW,ROUTINE
2024-02-27T00:01:42Z,Alpha-2,52.892404,-1.15728,Requesting QRF standby. Situation developing in Sector 7.,HIGH,ROUTINE
2024-02-27T00:01:45Z,Charlie-4,52.997246,-1.287956,Radio check. Lima Charlie. Over.,LOW,ROUTINE
2024-02-27T00:01:51Z,Falcon-2,52.853535,-1.169565,UAV feed shows vehicle tracks.,MEDIUM,INTEL
2024-02-27T00:01:52Z,Charlie-2,52.973928,-1.199232,Resupply needed: MREs for 30 personnel.,MEDIUM,LOGISTICS
2024-02-27T00:02:02Z,Falcon-3,52.907491,-1.219286,Vehicle maintenance required. Engine overheating.,MEDIUM,LOGISTICS
2024-02-27T00:02:05Z,Bravo-4,52.852659,-1.27064,Troops in contact! Grid reference 6971 8698. Requesting QRF!,CRITICAL,CONTACT
2024-02-27T00:02:06Z,Bravo-6,53.007109,-1.177698,Vehicle maintenance required. Engine overheating.,MEDIUM,LOGISTICS
2024-02-27T00:02:13Z,Charlie-1,52.887531,-1.160677,Suspicious movement in Sector 4. Possible staging area.,HIGH,INTEL
2024-02-27T00:02:17Z,Eagle-4,52.8889,-1.18076,Heat casualty. Soldier unconscious. IV fluids administered.,HIGH,MEDICAL
2024-02-27T00:02:18Z,Falcon-6,52.962278,-1.209828,Elevated threat level. All patrols adopt enhanced posture.,HIGH,ROUTINE
2024-02-27T00:02:21Z,Charlie-4,53.009815,-1.176069,HUMINT source reports weapons cache at grid 7146 2536.,HIGH,INTEL
2024-02-27T00:02:24Z,Falcon-1,53.038381,-1.165472,دورية روتينية، المنطقة آمنة,LOW,ROUTINE
2024-02-27T00:02:27Z,Charlie-2,52.85666,-1.117951,Local nationals report unusual activity.,MEDIUM,INTEL
2024-02-27T00:02:29Z,Falcon-3,52.961741,-1.247045,Requesting QRF standby. Situation developing in Sector 7.,HIGH,ROUTINE
2024-02-27T00:02:36Z,Bravo-1,52.925401,-1.201159,Routine patrol complete. Sector clear. RTB.,LOW,ROUTINE
2024-02-27T00:02:41Z,Eagle-6,52.941619,-1.232,UAV feed shows vehicle tracks.,MEDIUM,INTEL
2024-02-27T00:02:44Z,Eagle-3,52.998769,-1.209228,Requesting medical resupply: bandages and morphine,MEDIUM,MEDICAL
2024-02-27T00:02:46Z,Falcon-2,52.926253,-1.251475,Shift rotation complete.,MEDIUM,ROUTINE
2024-02-27T00:02:47Z,Bravo-1,53.011789,-1.246127,Suspicious movement in Sector 4. Possible staging area.,HIGH,INTEL
2024-02-27T00:02:53Z,Charlie-6,52.964554,-1.24593,IED detonated on convoy route. Vehicle disabled. Under fire!,CRITICAL,CONTACT
2024-02-27T00:02:55Z,Charlie-4,52.85889,-1.151733,Equipment inventory complete.,LOW,INTEL
2024-02-27T00:03:01Z,Falcon-2,52.957264,-1.206181,All clear. No activity to report.,LOW,MEDICAL
2024-02-27T00:03:03Z,Falcon-6,52.857796,-1.213334,Routine patrol complete. Sector clear. RTB.,LOW,ROUTINE
2024-02-27T00:03:07Z,Bravo-5,52.936033,-1.107768,Radio check. Lima Charlie. Over.,LOW,ROUTINE
2024-02-27T00:03:10Z,Bravo-3,52.944857,-1.134309,Taking fire from multiple positions! Request immediate CAS!,CRITICAL,CONTACT
2024-02-27T00:03:11Z,Eagle-3,52.918824,-1.212266,UAV feed shows vehicle tracks.,MEDIUM,INTEL
2024-02-27T00:03:12Z,Eagle-2,53.036025,-1.102177,Intercepted radio traffic suggests enemy repositioning to the east.,HIGH,INTEL
2024-02-27T00:03:13Z,Falcon-3,52.975662,-1.170378,Request water resupply at grid 1211 2308.,MEDIUM,LOGISTICS
2024-02-27T00:03:14Z,Charlie-5,53.038674,-1.111821,Shift rotation complete.,MEDIUM,ROUTINE
2024-02-27T00:03:23Z,Bravo-2,52.854789,-1.206374,Confirmed VBIED heading towards checkpoint Delta. ETA 5 minutes!,CRITICAL,INTEL
2024-02-27T00:03:24Z,Falcon-4,52.955771,-1.195666,Unidentified personnel observed crossing border at dawn.,HIGH,INTEL
2024-02-27T00:03:25Z,Alpha-4,53.007075,-1.281131,Vehicle maintenance required. Engine overheating.,MEDIUM,LOGISTICS
2024-02-27T00:03:27Z,Falcon-4,52.997645,-1.130454,"Mass casualty event! IED blast, 5 wounded, 2 critical. Need MEDEVAC!",CRITICAL,MEDICAL
2024-02-27T00:03:27Z,Eagle-2,52.986217,-1.196379,Weather update- sandstorm expected.,MEDIUM,ROUTINE
2024-02-27T00:03:35Z,Falcon-5,52.998416,-1.130725,Requesting medical resupply: bandages and morphine,MEDIUM,MEDICAL
2024-02-27T00:03:42Z,Alpha-3,52.951558,-1.265329,Unidentified personnel observed crossing border at dawn.,HIGH,INTEL
2024-02-27T00:03:43Z,Bravo-4,53.029936,-1.121946,Resupply needed: MREs for 30 personnel.,MEDIUM,LOGISTICS
2024-02-27T00:03:44Z,Bravo-2,52.925079,-1.195503,All clear. No activity to report.,LOW,ROUTINE
2024-02-27T00:03:50Z,Bravo-3,52.909663,-1.188321,"Enemy spotted, 800m south-west.  squad-sized element.",HIGH,CONTACT
2024-02-27T00:03:53Z,Bravo-6,53.035425,-1.194725,Request water resupply at grid 1302 4069.,MEDIUM,LOGISTICS
2024-02-27T00:03:53Z,Charlie-5,52.994258,-1.168094,All clear. No activity to report.,LOW,INTEL
2024-02-27T00:03:55Z,Falcon-4,53.01507,-1.222919,Requesting medical resupply: bandages and morphine,MEDIUM,MEDICAL
2024-02-27T00:04:04Z,Alpha-2,52.887479,-1.267211,UAV feed shows vehicle tracks.,MEDIUM,INTEL
2024-02-27T00:04:07Z,Falcon-1,52.963902,-1.229457,Route Bravo compromised. Rerouting logistics convoy via Route Delta.,HIGH,LOGISTICS
2024-02-27T00:04:09Z,Eagle-3,52.857453,-1.154862,Vehicle maintenance required. Engine overheating.,MEDIUM,LOGISTICS
2024-02-27T00:04:17Z,Bravo-6,52.938721,-1.279929,Mail delivery received.,LOW,CONTACT
2024-02-27T00:04:24Z,Bravo-5,52.851724,-1.158228,Multiple casualties from mortar strike. Medical supplies exhausted.,CRITICAL,MEDICAL
2024-02-27T00:04:27Z,Alpha-2,52.915994,-1.251155,Heat casualty. Soldier unconscious. IV fluids administered.,HIGH,MEDICAL
2024-02-27T00:04:28Z,Falcon-3,52.968293,-1.2064,انفجار عبوة ناسفة! إصابات متعددة!,CRITICAL,CONTACT
2024-02-27T00:04:33Z,Eagle-2,52.881419,-1.220341,Radio check. Lima Charlie. Over.,LOW,ROUTINE
2024-02-27T00:04:37Z,Falcon-3,53.019663,-1.138689,صيانة مطلوبة للمركبة الثانية,MEDIUM,LOGISTICS
2024-02-27T00:04:40Z,Charlie-1,52.855059,-1.118323,Equipment inventory complete.,LOW,LOGISTICS
2024-02-27T00:04:43Z,Falcon-6,52.925851,-1.116999,IED detonated on convoy route. Vehicle disabled. Under fire!,CRITICAL,CONTACT
2024-02-27T00:04:44Z,Alpha-6,52.987938,-1.148954,Multiple casualties from mortar strike. Medical supplies exhausted.,CRITICAL,MEDICAL
2024-02-27T00:04:52Z,Alpha-1,52.902866,-1.167203,"CASEVAC urgent! Two T1 casualties, GSW to chest and abdomen.",CRITICAL,MEDICAL
2024-02-27T00:04:58Z,Eagle-3,53.019582,-1.205275,Route Bravo compromised. Rerouting logistics convoy via Route Delta.,HIGH,LOGISTICS
